T_HEAT_LOW_C,AIRFLOW_PER_PERSON_M3H,T_HW_SUPPLY_MAX,T_STAIR_COLD_C,T_HW_EXT_HYST_C,T_BLOW_HEAT_C,E_total_kWh,E_heat_kWh,E_cool_kWh,E_fan_kWh,E_curtain_kWh,cost_eur,CO2_kg,T_comfort_pct,T_mild_pct,T_discomfort_pct,RH_comfort_pct,RH_mild_pct,RH_discomfort_pct,combined_comfort_pct,combined_mild_pct,combined_discomfort_pct,T_in_min,T_in_max
14.0,18.0,40.0,3.0,11.0,28.0,12953.5713903367,5202.713517154693,1164.6254922518146,5045.558450864727,1540.673930065464,2179.2312925151778,345.72427600583353,43.005464480874316,45.7103825136612,11.284153005464482,58.48360655737706,19.248633879781423,22.26775956284153,25.013661202185794,42.77322404371585,32.213114754098356,12.118647797771631,30.18690537350781
14.0,18.0,40.0,3.0,11.0,30.0,12986.334351932095,5264.73750386929,1171.3662075191698,5009.556710478171,1540.673930065464,2182.328916684976,345.4529257804164,43.0327868852459,46.147540983606554,10.819672131147541,58.497267759562845,19.30327868852459,22.19945355191257,25.0,43.29234972677596,31.70765027322404,12.03608096610024,30.158793777295706
14.0,18.0,40.0,3.0,11.0,32.0,13066.159835980723,5377.606067070714,1163.1452845171589,4984.734554327386,1540.673930065464,2198.21656166178,348.1411867782266,43.01912568306011,46.775956284153004,10.204918032786885,58.48360655737706,19.2896174863388,22.226775956284154,25.0,43.83879781420765,31.161202185792348,11.999010707166807,30.19637764370178
14.0,18.0,40.0,3.0,13.0,28.0,12953.5713903367,5202.713517154693,1164.6254922518146,5045.558450864727,1540.673930065464,2179.2312925151778,345.72427600583353,43.005464480874316,45.7103825136612,11.284153005464482,58.48360655737706,19.248633879781423,22.26775956284153,25.013661202185794,42.77322404371585,32.213114754098356,12.118647797771631,30.18690537350781
14.0,18.0,40.0,3.0,13.0,30.0,12986.334351932095,5264.73750386929,1171.3662075191698,5009.556710478171,1540.673930065464,2182.328916684976,345.4529257804164,43.0327868852459,46.147540983606554,10.819672131147541,58.497267759562845,19.30327868852459,22.19945355191257,25.0,43.29234972677596,31.70765027322404,12.03608096610024,30.158793777295706
14.0,18.0,40.0,3.0,13.0,32.0,13066.159835980723,5377.606067070714,1163.1452845171589,4984.734554327386,1540.673930065464,2198.21656166178,348.1411867782266,43.01912568306011,46.775956284153004,10.204918032786885,58.48360655737706,19.2896174863388,22.226775956284154,25.0,43.83879781420765,31.161202185792348,11.999010707166807,30.19637764370178
14.0,18.0,40.0,3.0,15.0,28.0,12953.5713903367,5202.713517154693,1164.6254922518146,5045.558450864727,1540.673930065464,2179.2312925151778,345.72427600583353,43.005464480874316,45.7103825136612,11.284153005464482,58.48360655737706,19.248633879781423,22.26775956284153,25.013661202185794,42.77322404371585,32.213114754098356,12.118647797771631,30.18690537350781
14.0,18.0,40.0,3.0,15.0,30.0,12986.334351932095,5264.73750386929,1171.3662075191698,5009.556710478171,1540.673930065464,2182.328916684976,345.4529257804164,43.0327868852459,46.147540983606554,10.819672131147541,58.497267759562845,19.30327868852459,22.19945355191257,25.0,43.29234972677596,31.70765027322404,12.03608096610024,30.158793777295706
14.0,18.0,40.0,3.0,15.0,32.0,13066.159835980723,5377.606067070714,1163.1452845171589,4984.734554327386,1540.673930065464,2198.21656166178,348.1411867782266,43.01912568306011,46.775956284153004,10.204918032786885,58.48360655737706,19.2896174863388,22.226775956284154,25.0,43.83879781420765,31.161202185792348,11.999010707166807,30.19637764370178
14.0,18.0,40.0,5.0,11.0,28.0,12712.93344020602,3950.9538154915244,1173.0197936824138,4998.222039430613,2590.7377916014693,2134.426408745667,336.89429503636694,43.01912568306011,48.66120218579235,8.319672131147541,58.032786885245905,19.385245901639344,22.581967213114755,24.972677595628415,45.38251366120218,29.6448087431694,12.067908278475418,30.209692459208753
14.0,18.0,40.0,5.0,11.0,30.0,12776.142802334023,4037.320476435578,1166.0074886553257,4982.07704564165,2590.7377916014693,2146.740194826455,340.37785769574174,43.08743169398907,49.071038251366126,7.841530054644809,58.01912568306011,19.439890710382514,22.540983606557376,24.972677595628415,45.86065573770492,29.166666666666668,11.94945151413168,30.203068338690095
14.0,18.0,40.0,5.0,11.0,32.0,12861.418518123433,4134.061291985268,1163.9784909247603,4972.640943611935,2590.7377916014693,2159.27716210589,341.5669301444303,43.0327868852459,49.59016393442623,7.377049180327869,57.99180327868852,19.494535519125684,22.51366120218579,25.013661202185794,46.32513661202186,28.66120218579235,12.085324716141617,30.226982901098822
14.0,18.0,40.0,5.0,13.0,28.0,12712.93344020602,3950.9538154915244,1173.0197936824138,4998.222039430613,2590.7377916014693,2134.426408745667,336.89429503636694,43.01912568306011,48.66120218579235,8.319672131147541,58.032786885245905,19.385245901639344,22.581967213114755,24.972677595628415,45.38251366120218,29.6448087431694,12.067908278475418,30.209692459208753
14.0,18.0,40.0,5.0,13.0,30.0,12776.142802334023,4037.320476435578,1166.0074886553257,4982.07704564165,2590.7377916014693,2146.740194826455,340.37785769574174,43.08743169398907,49.071038251366126,7.841530054644809,58.01912568306011,19.439890710382514,22.540983606557376,24.972677595628415,45.86065573770492,29.166666666666668,11.94945151413168,30.203068338690095
14.0,18.0,40.0,5.0,13.0,32.0,12861.418518123433,4134.061291985268,1163.9784909247603,4972.640943611935,2590.7377916014693,2159.27716210589,341.5669301444303,43.0327868852459,49.59016393442623,7.377049180327869,57.99180327868852,19.494535519125684,22.51366120218579,25.013661202185794,46.32513661202186,28.66120218579235,12.085324716141617,30.226982901098822
14.0,18.0,40.0,5.0,15.0,28.0,12712.93344020602,3950.9538154915244,1173.0197936824138,4998.222039430613,2590.7377916014693,2134.426408745667,336.89429503636694,43.01912568306011,48.66120218579235,8.319672131147541,58.032786885245905,19.385245901639344,22.581967213114755,24.972677595628415,45.38251366120218,29.6448087431694,12.067908278475418,30.209692459208753
14.0,18.0,40.0,5.0,15.0,30.0,12776.142802334023,4037.320476435578,1166.0074886553257,4982.07704564165,2590.7377916014693,2146.740194826455,340.37785769574174,43.08743169398907,49.071038251366126,7.841530054644809,58.01912568306011,19.439890710382514,22.540983606557376,24.972677595628415,45.86065573770492,29.166666666666668,11.94945151413168,30.203068338690095
14.0,18.0,40.0,5.0,15.0,32.0,12861.418518123433,4134.061291985268,1163.9784909247603,4972.640943611935,2590.7377916014693,2159.27716210589,341.5669301444303,43.0327868852459,49.59016393442623,7.377049180327869,57.99180327868852,19.494535519125684,22.51366120218579,25.013661202185794,46.32513661202186,28.66120218579235,12.085324716141617,30.226982901098822
14.0,18.0,40.0,7.0,11.0,28.0,13085.185354309973,2829.2131553317045,1163.60596292955,4992.655228416594,4099.711007632125,2204.981742930585,348.04673795321816,43.060109289617486,50.30054644808744,6.639344262295081,57.513661202185794,19.23497267759563,23.251366120218577,25.10928961748634,46.27049180327869,28.620218579234972,12.011499808336229,30.184743663077256
14.0,18.0,40.0,7.0,11.0,30.0,13107.509245708416,2865.571461488605,1163.1966741882882,4979.030102399397,4099.711007632125,2207.1818584266825,348.3965636847856,43.10109289617486,50.560109289617486,6.33879781420765,57.25409836065574,19.453551912568308,23.292349726775956,25.095628415300546,46.53005464480874,28.374316939890708,11.98051301224137,30.19622837009018
14.0,18.0,40.0,7.0,11.0,32.0,13197.909716736407,2952.444345231543,1171.4999415542652,4974.254422318472,4099.711007632125,2225.4915160725895,351.9915849760479,43.114754098360656,50.778688524590166,6.10655737704918,57.3224043715847,19.41256830601093,23.26502732240437,25.095628415300546,46.76229508196722,28.142076502732237,11.891088819145095,30.231550434744918
